City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bac lieu,9.285,105.7244,29.5,71,100,7.97,VN,1690421894
83,shingu,33.7333,135.9833,31.07,63,94,2.63,JP,1690421593
84,alibag,18.6411,72.8792,26.04,92,100,4.4,IN,1690421622
85,chonchi,-42.6128,-73.8092,8.4,98,100,1.18,CL,1690421571
86,ad dabbah,18.05,30.95,33.46,39,98,8.3,SD,1690421895
87,ataq,14.5377,46.8319,24.3,56,19,4.87,YE,1690421895
88,al abyar,32.19,20.5965,26.83,51,0,2.87,LY,1690421895
89,kapuskasing,49.4169,-82.4331,20.05,83,40,1.03,CA,1690421485
90,namibe,-15.1961,12.1522,15.43,91,69,3.97,AO,1690421759
91,shimoda,34.6667,138.95,32.28,66,22,2.65,JP,1690421729
92,barreirinhas,-2.7469,-42.8264,25.71,81,6,3.84,BR,1690421659
93,ribeira grande,38.5167,-28.7,23.21,96,42,1.34,PT,1690421595
94,palmer,42.1584,-72.3287,25.23,72,40,3.6,US,1690421897
95,ridder,50.355,83.5133,22.67,45,98,0.55,KZ,1690421897
96,port alfred,-33.5906,26.891,16.34,82,92,4.77,ZA,1690421594
97,dudinka,69.4058,86.1778,24.79,60,67,1.75,RU,1690421609
98,flying fish cove,-10.4217,105.6791,24.82,83,100,5.66,CX,1690421582
99,puerto ayora,-0.7393,-90.3518,24.75,93,84,3.58,EC,1690421553
100,ashta,23.0167,76.7167,25.37,90,91,5.45,IN,1690421898
101,vila velha,-20.3297,-40.2925,21.08,89,40,1.54,BR,1690421578
102,enewetak,11.3474,162.3373,28.53,77,100,6.01,MH,1690421595
103,whitehorse,60.7161,-135.0538,23.34,58,100,6.69,CA,1690421498
104,papao,-17.75,-149.55,24.82,82,39,2.7,PF,1690421621
105,avarua,-21.2078,-159.775,24.03,69,40,4.12,CK,1690421553
106,kembe,4.6228,21.8865,21.69,91,100,0.79,CF,1690421902
107,carutapera,-1.195,-46.02,24.9,86,35,2.93,BR,1690421640
108,alexandria,31.2156,29.9553,25.3,69,0,1.63,EG,1690421577
109,ilulissat,69.2167,-51.1,9.01,61,0,4.12,GL,1690421556
110,gisborne,-38.6533,178.0042,13.57,59,28,3.98,NZ,1690421903
111,minas de marcona,-15.2119,-75.1103,12.23,87,48,5.24,PE,1690421608
112,puerto carreno,6.189,-67.4859,26.17,84,100,2.26,CO,1690421708
113,la mira,18.035,-102.3266,27.71,78,62,2.16,MX,1690421732
114,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1690421606
115,georgetown,5.4112,100.3354,27.96,93,20,1.03,MY,1690421494
116,jaru,-10.4389,-62.4664,24.26,49,11,0.4,BR,1690421905
117,nago,26.5881,127.9761,29.47,92,100,6.51,JP,1690421905
118,priargunsk,50.3691,119.1012,23.14,64,100,5.02,RU,1690421905
119,port lincoln,-34.7333,135.8667,17.59,56,100,9.28,AU,1690421595
